sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,8,9,10,11,12,13,13,14,14,15,16
1,8,9,10,11,12,13,13,14,14,15,16
2,8,9,10,11,12,13,13,14,14,15,16
3,8,9,10,11,12,13,13,14,14,15,16
4,8,9,10,11,12,13,13,14,14,15,16
5,8,9,10,11,12,13,13,14,14,15,16
6,6,7,8,9,10,10,10,11,11,12,13
7,6,7,8,9,10,10,10,11,11,12,13
8,6,7,8,9,10,10,10,11,11,12,13
9,6,7,8,9,10,10,10,11,11,12,13
10,6,7,8,9,10,10,10,11,11,12,13
11,8,9,10,11,12,13,13,14,14,15,16
12,8,9,10,11,12,13,13,14,14,15,16
13,8,9,10,11,12,13,13,14,14,15,16
14,7,8,9,10,11,12,12,13,13,14,15
15,1,2,2,2,2,2,2,2,2,2,2
16,1,2,2,2,2,2,2,2,2,2,2
17,1,2,2,2,2,2,2,2,2,2,2
18,6,7,8,9,10,10,10,11,11,12,13
19,8,9,10,11,12,13,13,14,14,15,16
20,8,9,10,11,12,13,13,14,14,15,16
21,6,7,8,9,10,10,10,11,11,12,13
22,6,7,8,9,10,10,10,11,11,12,13
23,8,9,10,11,12,13,13,14,14,15,16
24,8,9,10,11,12,13,13,14,14,15,16
25,6,7,8,9,10,10,10,11,11,12,13
26,6,7,8,9,10,10,10,11,11,12,13
27,1,1,1,1,1,1,1,1,1,1,1
28,7,8,9,10,11,12,12,13,13,14,15
29,1,2,2,2,2,2,2,2,2,2,2
30,1,2,2,2,2,2,2,2,2,2,2
31,1,1,1,1,1,1,1,1,1,1,1
32,7,8,9,10,11,11,11,12,12,13,14
33,7,8,9,10,11,11,11,12,12,13,14
34,7,8,9,10,11,11,11,12,12,13,14
35,7,8,9,10,11,11,11,12,12,13,14
36,5,6,7,8,9,9,9,9,9,10,11
37,5,6,7,8,9,9,9,9,9,10,11
38,5,6,7,8,9,9,9,9,9,10,11
39,9,10,11,12,13,14,15,16,17,18,19
40,9,10,11,12,13,14,15,16,17,18,19
41,9,10,11,12,13,14,15,16,17,18,19
42,5,6,7,8,9,9,9,9,9,10,11
43,5,6,7,8,9,9,9,9,9,10,11
44,5,6,7,8,9,9,9,9,9,10,11
45,5,6,7,8,9,9,9,9,9,10,11
46,5,6,7,8,9,9,9,9,9,10,11
47,5,6,7,8,9,9,9,9,9,10,11
48,5,6,7,8,9,9,9,9,9,10,11
49,5,6,7,8,9,9,9,9,9,10,11
50,1,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1,1
53,4,5,6,6,7,7,7,7,7,8,9
54,4,5,6,6,7,7,7,7,7,8,9
55,5,6,7,8,9,9,9,9,9,10,11
56,9,10,11,12,13,14,15,16,17,18,19
57,9,10,11,12,13,14,15,16,17,18,19
58,5,6,7,8,9,9,9,10,10,11,12
59,5,6,7,8,9,9,9,9,9,10,11
60,5,6,7,8,9,9,9,10,10,11,12
61,5,6,7,8,9,9,9,9,9,10,11
62,5,6,7,8,9,9,9,9,9,10,11
63,6,7,8,9,10,10,10,11,11,12,13
64,6,7,8,9,10,10,10,11,11,12,13
65,4,5,6,6,7,7,7,7,7,8,9
66,4,5,6,6,7,7,7,7,7,8,9
67,4,5,6,6,7,7,7,7,7,8,9
68,4,5,6,6,7,7,7,7,7,8,9
69,4,5,6,6,7,7,7,7,7,8,9
70,4,5,6,6,7,7,7,7,7,8,9
71,4,5,6,6,7,7,7,7,7,8,9
72,4,5,6,6,7,7,7,7,7,8,9
73,2,3,3,3,3,3,3,3,3,3,4
74,2,3,3,3,3,3,3,3,3,3,4
75,2,3,3,3,3,3,3,3,3,3,3
76,2,3,3,3,3,3,3,3,3,3,3
77,4,5,6,6,7,7,7,7,7,8,9
78,4,5,6,6,7,7,7,7,7,8,9
79,4,5,6,6,7,7,7,7,7,8,9
80,5,6,7,8,9,9,9,10,10,11,12
81,5,6,7,8,9,9,9,10,10,11,12
82,5,6,7,8,9,9,9,10,10,11,12
83,5,6,7,8,9,9,9,10,10,11,12
84,5,6,7,8,9,9,9,10,10,11,12
85,2,3,3,3,3,3,3,3,3,3,3
86,2,3,3,3,3,3,3,3,3,3,3
87,2,3,3,3,3,3,3,3,3,3,3
88,2,3,3,3,3,3,3,3,3,3,4
89,2,3,3,3,3,3,3,3,3,3,4
90,2,3,3,3,3,3,3,3,3,3,4
91,6,7,8,9,10,10,10,11,11,12,13
92,6,7,8,9,10,10,10,11,11,12,13
93,6,7,8,9,10,10,10,11,11,12,13
94,8,9,10,11,12,13,13,14,15,16,17
95,8,9,10,11,12,13,13,14,15,16,17
96,8,9,10,11,12,13,13,14,15,16,17
97,6,7,8,9,10,10,10,11,11,12,13
98,6,7,8,9,10,10,10,11,11,12,13
99,6,7,8,9,10,10,10,11,11,12,13
100,6,7,8,9,10,10,10,11,11,12,13
101,6,7,8,9,10,10,10,11,11,12,13
102,6,7,8,9,10,10,10,11,11,12,13
103,6,7,8,9,10,10,10,11,11,12,13
104,6,7,8,9,10,10,10,11,11,12,13
105,6,7,8,9,10,10,10,11,11,12,13
106,5,6,7,7,8,8,8,8,8,9,10
107,5,6,7,7,8,8,8,8,8,9,10
108,5,6,7,7,8,8,8,8,8,9,10
109,5,6,7,7,8,8,8,8,8,9,10
110,5,6,7,7,8,8,8,8,8,9,10
111,4,5,6,6,7,7,7,7,7,8,9
112,7,8,9,10,11,12,12,13,13,14,15
113,6,7,8,9,10,10,10,11,11,12,13
114,6,7,8,9,10,10,10,11,11,12,13
115,5,6,7,8,9,9,9,10,10,11,12
116,4,5,6,6,7,7,7,7,7,8,9
117,7,8,9,10,11,12,12,13,13,14,15
118,7,8,9,10,11,12,12,13,13,14,15
119,7,8,9,10,11,12,12,13,13,14,15
120,6,7,8,9,10,10,10,11,11,12,13
121,6,7,8,9,10,10,10,11,11,12,13
122,6,7,8,9,10,10,10,11,11,12,13
123,7,8,9,10,11,12,12,13,13,14,15
124,5,6,7,7,8,8,8,8,8,9,10
125,5,6,7,7,8,8,8,8,8,9,10
126,5,6,7,7,8,8,8,8,8,9,10
127,5,6,7,7,8,8,8,8,8,9,10
128,5,6,7,7,8,8,8,8,8,9,10
129,5,6,7,7,8,8,8,8,8,9,10
130,5,6,7,7,8,8,8,8,8,9,10
131,5,6,7,7,8,8,8,8,8,9,10
132,5,6,7,7,8,8,8,8,8,9,10
133,5,6,7,7,8,8,8,8,8,9,10
134,5,6,7,7,8,8,8,8,8,9,10
135,5,6,7,7,8,8,8,8,8,9,10
136,5,6,7,7,8,8,8,8,8,9,10
137,5,6,7,8,9,9,9,10,10,11,12
138,5,6,7,8,9,9,9,10,10,11,12
139,5,6,7,8,9,9,9,10,10,11,12
140,5,6,7,8,9,9,9,10,10,11,12
141,5,6,7,8,9,9,9,10,10,11,12
142,5,6,7,8,9,9,9,10,10,11,12
143,5,6,7,7,8,8,8,8,8,9,10
144,5,6,7,7,8,8,8,8,8,9,10
145,5,6,7,7,8,8,8,8,8,9,10
146,5,6,7,7,8,8,8,8,8,9,10
147,5,6,7,7,8,8,8,8,8,9,10
148,7,8,9,10,11,12,12,13,13,14,15
149,7,8,9,10,11,12,12,13,13,14,15
150,7,8,9,10,11,12,12,13,13,14,15
151,6,7,8,9,10,10,10,11,11,12,13
152,6,7,8,9,10,10,10,11,11,12,13
153,6,7,8,9,10,10,10,11,11,12,13
154,4,5,6,6,7,7,7,7,7,8,9
155,5,6,7,8,9,9,9,10,10,11,12
156,4,5,6,6,7,7,7,7,7,8,9
157,2,3,3,3,3,3,3,3,3,3,4
158,2,3,3,3,3,3,3,3,3,3,4
159,3,4,4,4,5,5,5,5,5,6,7
160,3,4,4,4,5,5,5,5,5,6,7
161,3,4,4,4,5,5,5,5,5,6,7
162,3,4,4,4,5,5,5,5,5,6,7
163,3,4,4,4,5,5,5,5,5,6,7
164,2,3,3,3,4,4,4,4,4,5,6
165,2,3,3,3,3,3,3,3,3,3,4
166,5,6,7,7,8,8,8,8,8,9,10
167,5,6,7,7,8,8,8,8,8,9,10
168,5,6,7,7,8,8,8,8,8,9,10
169,4,5,6,6,7,7,7,7,7,8,9
170,5,6,7,7,8,8,8,8,8,9,10
171,5,6,7,7,8,8,8,8,8,9,10
172,2,3,3,3,3,3,3,3,3,3,4
173,2,3,3,3,3,3,3,3,3,3,4
174,2,3,3,3,3,3,3,3,3,3,4
175,4,5,6,6,7,7,7,7,7,8,9
176,4,5,6,6,7,7,7,7,7,8,9
177,5,6,7,7,8,8,8,8,8,9,10
178,5,6,7,7,8,8,8,8,8,9,10
179,2,3,3,3,3,3,3,3,3,3,4
180,2,3,3,3,3,3,3,3,3,3,4
181,2,3,3,3,3,3,3,3,3,3,4
182,4,5,6,6,7,7,7,7,7,8,9
183,2,3,3,3,3,3,3,3,3,3,4
184,5,6,7,8,9,9,9,10,10,11,12
185,2,3,3,3,4,4,4,4,4,5,6
186,2,3,3,3,3,3,3,3,3,3,4
187,2,3,3,3,3,3,3,3,3,3,4
188,2,3,3,3,3,3,3,3,3,3,4
189,2,3,3,3,3,3,3,3,3,3,4
190,4,5,6,6,7,7,7,7,7,8,9
191,2,3,3,3,3,3,3,3,3,3,4
192,2,3,3,3,3,3,3,3,3,3,4
193,2,3,3,3,4,4,4,4,4,5,6
194,2,3,3,3,4,4,4,4,4,5,6
195,2,3,3,3,4,4,4,4,4,5,6
196,4,5,6,6,7,7,7,7,7,8,9
197,4,5,6,6,7,7,7,7,7,8,9
198,5,6,7,8,9,9,9,10,10,11,12
199,5,6,7,7,8,8,8,8,8,9,10
200,5,6,7,7,8,8,8,8,8,9,10
201,1,1,1,1,1,1,1,1,1,1,1
202,5,6,7,8,9,9,9,10,10,11,12
203,5,6,7,8,9,9,9,10,10,11,12
204,4,5,6,6,7,7,7,7,7,8,9
205,5,6,7,8,9,9,9,10,10,11,12
206,4,5,6,6,7,7,7,7,7,8,9
207,4,5,6,6,7,7,7,7,7,8,9
208,2,3,3,3,3,3,3,3,3,3,4
209,5,6,7,8,9,9,9,10,10,11,12
210,2,3,3,3,3,3,3,3,3,3,4
211,4,5,6,6,7,7,7,7,7,8,9
212,4,5,6,6,7,7,7,7,7,8,9
213,4,5,6,6,7,7,7,7,7,8,9
214,4,5,6,6,7,7,7,7,7,8,9
215,4,5,6,6,7,7,7,7,7,8,9
216,1,2,2,2,2,2,2,2,2,2,2
217,4,5,6,6,7,7,7,7,7,8,9
218,4,5,6,6,7,7,7,7,7,8,9
219,4,5,6,6,7,7,7,7,7,8,9
220,4,5,6,6,7,7,7,7,7,8,9
221,4,5,6,6,7,7,7,7,7,8,9
222,4,5,6,6,7,7,7,7,7,8,9
223,5,6,7,8,9,9,9,10,10,11,12
224,4,5,6,6,7,7,7,7,7,8,9
225,4,5,6,6,7,7,7,7,7,8,9
226,4,5,6,6,7,7,7,7,7,8,9
227,4,5,6,6,7,7,7,7,7,8,9
228,4,5,6,6,7,7,7,7,7,8,9
229,4,5,6,6,7,7,7,7,7,8,9
230,5,6,7,8,9,9,9,10,10,11,12
231,7,8,9,10,11,12,12,13,13,14,15
232,4,5,6,6,7,7,7,7,7,8,9
233,4,5,6,6,7,7,7,7,7,8,9
234,4,5,6,6,7,7,7,7,7,8,9
235,4,5,6,6,7,7,7,7,7,8,9
236,5,6,7,8,9,9,9,10,10,11,12
237,4,5,6,6,7,7,7,7,7,8,9
238,4,5,6,6,7,7,7,7,7,8,9
239,5,6,7,8,9,9,9,10,10,11,12
240,5,6,7,8,9,9,9,10,10,11,12
241,4,5,6,6,7,7,7,7,7,8,9
242,4,5,6,6,7,7,7,7,7,8,9
243,5,6,7,8,9,9,9,10,10,11,12
244,5,6,7,8,9,9,9,10,10,11,12
245,5,6,7,8,9,9,9,10,10,11,12
246,4,5,6,6,7,7,7,7,7,8,9
247,4,5,6,6,7,7,7,7,7,8,9
248,4,5,6,6,7,7,7,7,7,8,9
249,4,5,6,6,7,7,7,7,7,8,9
250,5,6,7,8,9,9,9,10,10,11,12
251,4,5,6,6,7,7,7,7,7,8,9
252,4,5,6,6,7,7,7,7,7,8,9
253,4,5,6,6,7,7,7,7,7,8,9
254,5,6,7,8,9,9,9,10,10,11,12
255,4,5,6,6,7,7,7,7,7,8,9
256,4,5,6,6,7,7,7,7,7,8,9
257,4,5,6,6,7,7,7,7,7,8,9
258,4,5,6,6,7,7,7,7,7,8,9
259,4,5,6,6,7,7,7,7,7,8,9
260,5,6,7,8,9,9,9,10,10,11,12
261,5,6,7,8,9,9,9,10,10,11,12
262,5,6,7,8,9,9,9,10,10,11,12
263,4,5,6,6,7,7,7,7,7,8,9
264,4,5,6,6,7,7,7,7,7,8,9
265,4,5,6,6,7,7,7,7,7,8,9
266,5,6,7,8,9,9,9,10,10,11,12
267,5,6,7,8,9,9,9,9,9,10,11
268,6,7,8,9,10,10,10,11,11,12,13
269,4,5,6,6,7,7,7,7,7,8,9
270,2,3,3,3,3,3,3,3,3,3,4
271,5,6,7,8,9,9,9,9,9,10,11
272,5,6,7,8,9,9,9,9,9,10,11
273,5,6,7,8,9,9,9,9,9,10,11
274,6,7,8,9,10,10,10,11,11,12,13
275,5,6,7,8,9,9,9,9,9,10,11
276,5,6,7,8,9,9,9,9,9,10,11
277,5,6,7,8,9,9,9,9,9,10,11
278,5,6,7,8,9,9,9,9,9,10,11
279,5,6,7,8,9,9,9,9,9,10,11
280,2,3,3,3,3,3,3,3,3,3,4
281,2,3,3,3,3,3,3,3,3,3,4
282,5,6,7,8,9,9,9,9,9,10,11
283,5,6,7,8,9,9,9,9,9,10,11
284,7,8,9,10,11,12,12,13,13,14,15
285,1,1,1,1,1,1,1,1,1,1,1
286,5,6,7,8,9,9,9,9,9,10,11
287,5,6,7,8,9,9,9,9,9,10,11
288,9,10,11,12,13,14,15,16,17,18,19
289,9,10,11,12,13,14,15,16,17,18,19
290,6,7,8,9,10,10,10,11,11,12,13
291,6,7,8,9,10,10,10,11,11,12,13
292,6,7,8,9,10,10,10,11,11,12,13
293,7,8,9,10,11,11,11,12,12,13,14
294,5,6,7,8,9,9,9,10,10,11,12
295,5,6,7,8,9,9,9,10,10,11,12
296,1,1,1,1,1,1,1,1,1,1,1
297,5,6,7,8,9,9,9,10,10,11,12
298,5,6,7,8,9,9,9,10,10,11,12
299,5,6,7,8,9,9,9,10,10,11,12
300,4,5,6,6,7,7,7,7,7,8,9
301,5,6,7,8,9,9,9,10,10,11,12
302,6,7,8,9,10,10,10,11,11,12,13
303,9,10,11,12,13,14,15,16,17,18,19
304,6,7,8,9,10,10,10,11,11,12,13
305,6,7,8,9,10,10,10,11,11,12,13
306,7,8,9,10,11,11,11,12,12,13,14
307,2,3,3,3,4,4,4,4,4,5,6
308,2,3,3,3,4,4,4,4,4,5,6
309,2,3,3,3,4,4,4,4,4,5,6
310,2,3,3,3,4,4,4,4,4,5,6
311,2,3,3,3,4,4,4,4,4,5,6
312,5,6,7,8,9,9,9,9,9,10,11
313,9,10,11,12,13,14,15,16,17,18,19
314,6,7,8,9,10,10,10,11,11,12,13
315,6,7,8,9,10,10,10,11,11,12,13
316,6,7,8,9,10,10,10,11,11,12,13
317,6,7,8,9,10,10,10,11,11,12,13
318,8,9,10,11,12,13,13,14,15,16,17
319,1,1,1,1,1,1,1,1,1,1,1
320,2,3,3,3,4,4,4,4,4,5,6
321,2,3,3,3,4,4,4,4,4,5,6
322,4,5,6,6,7,7,7,7,7,8,9
323,7,8,9,10,11,12,12,13,13,14,15
324,7,8,9,10,11,12,12,13,13,14,15
325,7,8,9,10,11,11,11,12,12,13,14
326,7,8,9,10,11,12,12,13,13,14,15
327,5,6,7,8,9,9,9,9,9,10,11
328,7,8,9,10,11,11,11,12,12,13,14
329,1,1,1,1,1,1,1,1,1,1,1
330,8,9,10,11,12,13,13,14,15,16,17
331,8,9,10,11,12,13,13,14,15,16,17
332,5,6,7,7,8,8,8,8,8,9,10
333,5,6,7,7,8,8,8,8,8,9,10
334,5,6,7,7,8,8,8,8,8,9,10
335,1,2,2,2,2,2,2,2,2,2,2
336,4,5,6,6,7,7,7,7,7,8,9
337,5,6,7,8,9,9,9,10,10,11,12
338,6,7,8,9,10,10,10,11,11,12,13
339,7,8,9,10,11,12,12,13,13,14,15
340,7,8,9,10,11,12,12,13,13,14,15
341,7,8,9,10,11,12,12,13,13,14,15
342,6,7,8,9,10,10,10,11,11,12,13
343,8,9,10,11,12,13,13,14,15,16,17
344,7,8,9,10,11,12,12,13,13,14,15
345,6,7,8,9,10,10,10,11,11,12,13
346,4,5,6,6,7,7,7,7,7,8,9
347,5,6,7,8,9,9,9,9,9,10,11
348,5,6,7,8,9,9,9,9,9,10,11
349,9,10,11,12,13,14,15,16,17,18,19
350,9,10,11,12,13,14,15,16,17,18,19
351,5,6,7,8,9,9,9,9,9,10,11
352,4,5,6,6,7,7,7,7,7,8,9
353,4,5,6,6,7,7,7,7,7,8,9
354,4,5,6,6,7,7,7,7,7,8,9
355,4,5,6,6,7,7,7,7,7,8,9
356,4,5,6,6,7,7,7,7,7,8,9
357,4,5,6,6,7,7,7,7,7,8,9
358,4,5,6,6,7,7,7,7,7,8,9
359,4,5,6,6,7,7,7,7,7,8,9
360,4,5,6,6,7,7,7,7,7,8,9
361,4,5,6,6,7,7,7,7,7,8,9
362,2,3,3,3,3,3,3,3,3,3,4
363,2,3,3,3,3,3,3,3,3,3,4
364,2,3,3,3,3,3,3,3,3,3,4
365,4,5,6,6,7,7,7,7,7,8,9
366,4,5,6,6,7,7,7,7,7,8,9
367,4,5,6,6,7,7,7,7,7,8,9
368,2,3,3,3,4,4,4,4,4,5,6
369,5,6,7,8,9,9,9,10,10,11,12
370,7,8,9,10,11,11,11,12,12,13,14
371,7,8,9,10,11,11,11,12,12,13,14
372,7,8,9,10,11,11,11,12,12,13,14
373,7,8,9,10,11,11,11,12,12,13,14
374,7,8,9,10,11,12,12,13,13,14,15
375,7,8,9,10,11,11,11,12,12,13,14
376,4,5,6,6,7,7,7,7,7,8,9
377,4,5,6,6,7,7,7,7,7,8,9
378,4,5,6,6,7,7,7,7,7,8,9
379,7,8,9,10,11,11,11,12,12,13,14
380,4,5,6,6,7,7,7,7,7,8,9
381,4,5,6,6,7,7,7,7,7,8,9
382,4,5,6,6,7,7,7,7,7,8,9
383,4,5,6,6,7,7,7,7,7,8,9
384,4,5,6,6,7,7,7,7,7,8,9
385,4,5,6,6,7,7,7,7,7,8,9
386,2,3,3,3,3,3,3,3,3,3,4
387,2,3,3,3,3,3,3,3,3,3,4
388,3,4,4,4,5,5,5,5,5,6,7
389,4,5,6,6,7,7,7,7,7,8,9
390,4,5,6,6,7,7,7,7,7,8,9
391,1,2,2,2,2,2,2,2,2,2,2
392,4,5,6,6,7,7,7,7,7,8,9
393,5,6,7,8,9,9,9,10,10,11,12
394,4,5,6,6,7,7,7,7,7,8,9
395,4,5,6,6,7,7,7,7,7,8,9
396,4,5,6,6,7,7,7,7,7,8,9
397,4,5,6,6,7,7,7,7,7,8,9
398,4,5,6,6,7,7,7,7,7,8,9
399,4,5,6,6,7,7,7,7,7,8,9
400,4,5,6,6,7,7,7,7,7,8,9
401,1,1,1,1,1,1,1,1,1,1,1
402,1,1,1,1,1,1,1,1,1,1,1
403,4,5,6,6,7,7,7,7,7,8,9
404,4,5,6,6,7,7,7,7,7,8,9
405,7,8,9,10,11,12,12,13,13,14,15
406,4,5,6,6,7,7,7,7,7,8,9
407,4,5,6,6,7,7,7,7,7,8,9
408,4,5,6,6,7,7,7,7,7,8,9
409,4,5,6,6,7,7,7,7,7,8,9
410,4,5,6,6,7,7,7,7,7,8,9
411,4,5,6,6,7,7,7,7,7,8,9
412,4,5,6,6,7,7,7,7,7,8,9
413,5,6,7,8,9,9,9,10,10,11,12
414,4,5,6,6,7,7,7,7,7,8,9
415,4,5,6,6,7,7,7,7,7,8,9
416,3,4,4,4,5,5,5,5,5,6,7
417,3,4,4,4,5,5,5,5,5,6,7
418,2,3,3,3,3,3,3,3,3,3,4
419,2,3,3,3,3,3,3,3,3,3,4
420,1,2,2,2,2,2,2,2,2,2,2
421,5,6,7,8,9,9,9,10,10,11,12
422,7,8,9,10,11,12,12,13,13,14,15
423,7,8,9,10,11,12,12,13,13,14,15
424,0,0,0,0,0,0,0,0,0,0,0
425,2,3,3,3,3,3,3,3,3,3,4
426,2,3,3,3,3,3,3,3,3,3,4
427,2,3,3,3,3,3,3,3,3,3,4
428,2,3,3,3,3,3,3,3,3,3,3
429,3,4,5,5,6,6,6,6,6,7,8
430,3,4,5,5,6,6,6,6,6,7,8
431,3,4,5,5,6,6,6,6,6,7,8
432,3,4,5,5,6,6,6,6,6,7,8
433,2,3,3,3,3,3,3,3,3,3,4
434,4,5,6,6,7,7,7,7,7,8,9
435,4,5,6,6,7,7,7,7,7,8,9
436,4,5,6,6,7,7,7,7,7,8,9
437,4,5,6,6,7,7,7,7,7,8,9
438,4,5,6,6,7,7,7,7,7,8,9
439,4,5,6,6,7,7,7,7,7,8,9
440,7,8,9,10,11,12,12,13,13,14,15
441,8,9,10,11,12,13,13,14,14,15,16
442,4,5,6,6,7,7,7,7,7,8,9
443,4,5,6,6,7,7,7,7,7,8,9
444,4,5,6,6,7,7,7,7,7,8,9
445,5,6,7,8,9,9,9,10,10,11,12
446,4,5,6,6,7,7,7,7,7,8,9
447,4,5,6,6,7,7,7,7,7,8,9
448,4,5,6,6,7,7,7,7,7,8,9
449,4,5,6,6,7,7,7,7,7,8,9
450,4,5,6,6,7,7,7,7,7,8,9
451,4,5,6,6,7,7,7,7,7,8,9
452,4,5,6,6,7,7,7,7,7,8,9
453,4,5,6,6,7,7,7,7,7,8,9
454,4,5,6,6,7,7,7,7,7,8,9
455,4,5,6,6,7,7,7,7,7,8,9
456,4,5,6,6,7,7,7,7,7,8,9
457,4,5,6,6,7,7,7,7,7,8,9
458,4,5,6,6,7,7,7,7,7,8,9
459,4,5,6,6,7,7,7,7,7,8,9
460,4,5,6,6,7,7,7,7,7,8,9
461,4,5,6,6,7,7,7,7,7,8,9
462,4,5,6,6,7,7,7,7,7,8,9
463,4,5,6,6,7,7,7,7,7,8,9
464,4,5,6,6,7,7,7,7,7,8,9
465,4,5,6,6,7,7,7,7,7,8,9
466,4,5,6,6,7,7,7,7,7,8,9
467,4,5,6,6,7,7,7,7,7,8,9
468,4,5,6,6,7,7,7,7,7,8,9
469,4,5,6,6,7,7,7,7,7,8,9
470,0,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0,0,0,0
476,1,2,2,2,2,2,2,2,2,2,2
477,0,0,0,0,0,0,0,0,0,0,0
478,1,1,1,1,1,1,1,1,1,1,1
479,1,1,1,1,1,1,1,1,1,1,1
480,1,1,1,1,1,1,1,1,1,1,1
481,2,3,3,3,3,3,3,3,3,3,3
482,2,3,3,3,3,3,3,3,3,3,3
483,2,3,3,3,3,3,3,3,3,3,3
484,2,3,3,3,3,3,3,3,3,3,3
485,2,3,3,3,3,3,3,3,3,3,3
486,1,1,1,1,1,1,1,1,1,1,1
487,4,5,6,6,7,7,7,7,7,8,9
488,4,5,6,6,7,7,7,7,7,8,9
489,4,5,6,6,7,7,7,7,7,8,9
490,4,5,6,6,7,7,7,7,7,8,9
491,4,5,6,6,7,7,7,7,7,8,9
492,5,6,7,7,8,8,8,8,8,9,10
493,2,3,3,3,4,4,4,4,4,5,6
494,4,5,6,6,7,7,7,7,7,8,9
495,4,5,6,6,7,7,7,7,7,8,9
496,1,1,1,1,1,1,1,1,1,1,1
497,4,5,6,6,7,7,7,7,7,8,9
498,2,3,3,3,3,3,3,3,3,3,3
499,4,5,6,6,7,7,7,7,7,8,9
500,1,1,1,1,1,1,1,1,1,1,1
501,4,5,6,6,7,7,7,7,7,8,9
502,4,5,6,6,7,7,7,7,7,8,9
503,4,5,6,6,7,7,7,7,7,8,9
