sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
4,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
5,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
6,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
7,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
8,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
9,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
10,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
11,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
12,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
13,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
14,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
15,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
16,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
17,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
18,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
19,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
20,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
21,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
22,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
23,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
24,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
25,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
26,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
27,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
28,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
29,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
30,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
31,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
32,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
33,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18
34,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
35,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
36,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
38,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
39,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
40,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
41,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
42,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
43,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
44,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
45,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
46,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
47,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
48,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
49,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
51,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
52,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
53,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
54,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
55,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
56,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
57,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
58,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
59,1,1,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5
60,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2
61,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2
62,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2
63,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2
64,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2
65,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2
66,1,1,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5
67,1,1,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5
68,1,1,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5
69,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
70,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
71,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
72,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
73,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
74,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14
75,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
76,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
77,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,12
78,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,12
79,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,12
80,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,12
81,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,12
82,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,12
83,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,12
84,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,12
85,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,12
86,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,12
