sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,2,2,2,2,2,2,2,3,3,4,4
1,2,2,2,2,2,2,2,3,3,4,4
2,1,1,1,1,1,1,1,1,1,1,1
3,6,6,7,7,7,7,7,8,9,10,11
4,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1
6,2,2,2,2,2,2,2,3,3,4,4
7,1,1,1,1,1,1,1,1,1,1,1
8,8,8,9,9,10,11,11,12,13,14,15
9,8,8,9,9,10,11,11,12,13,14,15
10,4,4,4,4,4,4,4,5,6,7,7
11,4,4,4,4,4,4,4,5,6,7,7
12,3,3,3,3,3,3,3,4,4,5,5
13,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1
15,4,4,4,4,4,4,4,5,6,7,7
16,8,8,9,9,10,11,11,12,13,14,15
17,9,10,11,11,12,13,14,15,16,17,18
18,4,4,4,4,4,4,4,5,6,7,7
19,2,2,2,2,2,2,2,3,3,4,4
20,6,6,7,7,7,7,7,8,9,10,11
21,8,8,9,9,10,11,11,12,13,14,15
22,2,2,2,2,2,2,2,3,3,4,4
23,1,1,1,1,1,1,1,1,1,1,1
24,9,10,11,12,13,14,15,16,17,18,19
25,3,3,3,3,3,3,3,4,4,5,5
26,8,8,9,9,10,11,11,12,13,14,15
27,8,8,9,9,10,11,11,12,13,14,15
28,3,3,3,3,3,3,3,4,4,5,5
29,9,10,11,12,13,14,15,16,17,18,19
30,1,1,1,1,1,1,1,2,2,2,2
31,9,10,11,12,13,14,15,16,17,18,19
32,9,10,11,11,12,13,14,15,16,17,18
33,9,10,11,11,12,13,14,15,16,17,18
34,3,3,3,3,3,3,3,4,4,5,5
35,1,1,1,1,1,1,1,1,1,1,1
36,6,6,7,7,7,7,7,8,9,10,11
37,6,6,7,7,7,7,7,8,9,10,11
38,6,6,7,7,7,7,7,8,9,10,11
39,9,9,10,10,11,12,12,13,14,15,16
40,1,1,1,1,1,1,1,2,2,2,2
41,1,1,1,1,1,1,1,1,1,1,1
42,3,3,3,3,3,3,3,4,5,6,6
43,6,6,7,7,7,7,7,8,9,10,11
44,9,9,10,10,11,12,12,13,14,15,16
45,3,3,3,3,3,3,3,4,5,6,6
46,9,9,10,10,11,12,13,14,15,16,17
47,3,3,3,3,3,3,3,4,5,6,6
48,1,1,1,1,1,1,1,2,2,2,2
49,0,0,0,0,0,0,0,0,0,0,0
50,2,2,2,2,2,2,2,3,3,3,3
